filename,focalID,trial,recorder,resident,blackwidow,weight,egg_present,mated,contest_ID,contest_black,contest_weight,contest_mated,structural,gumfooted,bodyshakes,abdomenpulse,contact,time_to_contact,leg_touch,chelicerae_touch,silk_spray,silk_attempt,kerfuffle,retreat,time_to_retreat,left_web,time_to_leave_web,victory,vic_tie,Note
125t5 ,125,5,Sharon,1,1,0.25,0,1,123,1,0.32,1,9,30,0,0,0,,0,0,0,0,0,1,18,0,,0,0,
125t5 ,123,5,Sharon,0,1,0.32,0,1,125,1,0.25,1,9,30,0,0,0,,0,0,0,0,0,0,,0,,0,0,
125t4,125,4,Cam,1,1,0.409,0,1,14,0,0.1,0,17,26,0,0,0,,0,0,0,0,0,0,,0,5,1,1,
125t4,14,4,Cam,0,0,0.1,0,0,125,1,0.409,1,17,26,0,0,0,,0,0,0,0,0,1,5,1,5,0,2,
125t3 ,125,3,LP,1,1,0.412,0,1,90,1,0.329,1,32,24,4,16,0,,0,0,0,0,0,0,,0,,0,0,
125t3 ,90,3,LP,0,1,0.329,0,1,125,1,0.412,1,32,24,0,0,0,,0,0,0,0,0,0,,0,,0,0,
125t2,158,2,Cam,0,0,0.35,0,0,125,1,0.48,1,19,35,0,0,0,,0,0,0,0,0,0,,0,,0,0,
125t2,125,2,Cam,1,1,0.48,0,1,158,0,0.35,0,19,35,3,55,0,,0,0,0,0,0,0,,0,,0,0,
125t1,125,1,LP,1,1,0.44,0,1,114,1,0.3,1,42,9,,,0,,0,0,0,0,0,0,,0,394,1,1,
125t1,114,1,LP,0,1,0.3,0,1,125,1,0.44,1,42,9,6,18,0,,0,0,0,0,0,1,372,1,394,0,2,
122t5,122,5,Cam,1,1,0.495,0,0,107,1,0.488,0,12,17,0,42,1,21,1,1,0,0,0,0,,0,,0,0,
122t5,107,5,Cam,0,1,0.488,0,0,122,1,0.495,0,12,17,0,13,1,21,1,1,0,0,0,1,267,0,,0,0,
122t4 ,141,4,LP,0,1,0.19,0,0,122,1,0.5,0,5,26,0,0,0,,0,0,0,0,0,0,,0,,0,0,
122t4 ,122,4,LP,1,1,0.5,0,0,141,1,0.19,0,5,26,0,0,0,,0,0,0,0,0,0,,0,,0,0,
122t3,122,3,Cam,1,1,0.534,0,0,96,1,0.629,0,68,0,0,0,1,41,1,0,0,0,0,0,,0,55,1,1,
122t3,96,3,Cam,0,1,0.629,0,0,122,1,0.534,0,68,0,0,0,1,41,1,0,0,0,0,1,52,1,55,0,2,
122t2,122,2,LP,1,1,0.6,0,0,54,0,0.19,0,0,8,0,7,85,,0,0,0,0,0,0,,0,,0,0,
122t2,54,2,LP,0,0,0.19,0,0,122,1,0.6,0,0,8,0,0,0,,0,0,0,0,0,0,,0,,0,0,
121t5 ,121,5,LP,1,1,0.261,0,1,103,1,0.454,1,66,2,0,0,1,16,1,0,1,1,0,0,,0,,1,1,
121t5 ,103,5,LP,0,1,0.454,0,1,121,1,0.261,1,66,2,0,0,1,16,1,0,0,0,0,1,33,1,,0,2,
121t4,121,4,Cam,1,1,0.28,0,1,38,0,0.21,0,24,43,0,0,0,,0,0,0,0,0,0,,0,,1,1,*killed intruder
121t4,38,4,Cam,0,0,0.21,0,0,121,1,0.28,1,24,43,0,0,0,,0,0,0,0,0,0,,0,,0,2,"*killed while trying to escape, didn't ""leave"" web per say"
